"Step","workerpool1-5-DR6-LR0-R6 - Training/epoch_p_nohist"
"543","{""values"":[42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.0178994070738554,0.01801877241814509,0.01813813776243478,0.01825750310672447,0.01837686845101416,0.01849623379530385,0.01861559913959354,0.018734964483883232,0.018854329828172922,0.018973695172462612,0.019093060516752303,0.019212425861041993,0.019331791205331683,0.019451156549621373,0.019570521893911064,0.019689887238200754,0.019809252582490444,0.019928617926780134,0.020047983271069825,0.020167348615359515,0.020286713959649205,0.020406079303938895,0.020525444648228586,0.020644809992518276,0.020764175336807966,0.020883540681097656,0.021002906025387347,0.021122271369677037,0.021241636713966727,0.021361002058256418,0.021480367402546108,0.021599732746835798,0.02171909809112549]}"
"577","{""values"":[43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.0179415512830019,0.01806403894443065,0.0181865266058594,0.01830901426728815,0.018431501928716898,0.018553989590145648,0.018676477251574397,0.018798964913003147,0.018921452574431896,0.019043940235860646,0.019166427897289395,0.019288915558718145,0.019411403220146894,0.019533890881575644,0.019656378543004394,0.019778866204433143,0.019901353865861893,0.020023841527290642,0.020146329188719392,0.02026881685014814,0.02039130451157689,0.02051379217300564,0.02063627983443439,0.02075876749586314,0.02088125515729189,0.02100374281872064,0.02112623048014939,0.021248718141578138,0.021371205803006887,0.021493693464435637,0.021616181125864387,0.021738668787293136,0.021861156448721886]}"
"611","{""values"":[34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.017505953088402748,0.01762645156122744,0.017746950034052134,0.017867448506876826,0.01798794697970152,0.018108445452526212,0.018228943925350904,0.018349442398175597,0.01846994087100029,0.018590439343824983,0.018710937816649675,0.018831436289474368,0.01895193476229906,0.019072433235123754,0.019192931707948446,0.01931343018077314,0.01943392865359783,0.019554427126422524,0.019674925599247217,0.01979542407207191,0.019915922544896603,0.020036421017721295,0.020156919490545988,0.02027741796337068,0.020397916436195374,0.020518414909020066,0.02063891338184476,0.02075941185466945,0.020879910327494144,0.021000408800318837,0.02112090727314353,0.021241405745968223,0.021361904218792915]}"
"645","{""values"":[40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4],""_type"":""histogram"",""bins"":[0.01777554862201214,0.01789178908802569,0.01800802955403924,0.01812427002005279,0.01824051048606634,0.018356750952079892,0.018472991418093443,0.018589231884106994,0.018705472350120544,0.018821712816134095,0.018937953282147646,0.019054193748161197,0.019170434214174747,0.019286674680188298,0.01940291514620185,0.0195191556122154,0.01963539607822895,0.0197516365442425,0.019867877010256052,0.019984117476269603,0.020100357942283154,0.020216598408296704,0.020332838874310255,0.020449079340323806,0.020565319806337357,0.020681560272350907,0.020797800738364458,0.02091404120437801,0.02103028167039156,0.02114652213640511,0.02126276260241866,0.021379003068432212,0.021495243534445763]}"
"679","{""_type"":""histogram"",""values"":[40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2],""bins"":[0.017790677025914192,0.01790843397611752,0.01802619092632085,0.01814394787652418,0.01826170482672751,0.01837946177693084,0.018497218727134168,0.018614975677337497,0.018732732627540827,0.018850489577744156,0.018968246527947485,0.019086003478150815,0.019203760428354144,0.019321517378557473,0.019439274328760803,0.019557031278964132,0.01967478822916746,0.01979254517937079,0.01991030212957412,0.02002805907977745,0.02014581602998078,0.020263572980184108,0.020381329930387437,0.020499086880590767,0.020616843830794096,0.020734600780997425,0.020852357731200755,0.020970114681404084,0.021087871631607413,0.021205628581810743,0.021323385532014072,0.0214411424822174,0.02155889943242073]}"
"713","{""bins"":[0.017878307029604912,0.017961410805583,0.018044516444206238,0.018127620220184326,0.018210723996162415,0.018293829634785652,0.01837693341076374,0.01846003718674183,0.018543142825365067,0.018626246601343155,0.018709350377321243,0.01879245601594448,0.01887555979192257,0.018958663567900658,0.019041769206523895,0.019124872982501984,0.019207976758480072,0.01929108239710331,0.019374186173081398,0.019457291811704636,0.019540395587682724,0.019623499363660812,0.01970660500228405,0.01978970877826214,0.019872812554240227,0.019955918192863464,0.020039021968841553,0.02012212574481964,0.02020523138344288,0.020288335159420967,0.020371438935399055,0.020454544574022293,0.02053764835000038],""values"":[41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13],""_type"":""histogram""}"
"747","{""values"":[41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.01780238375067711,0.017923696781508625,0.01804500981234014,0.018166322843171656,0.018287635874003172,0.018408948904834688,0.018530261935666203,0.01865157496649772,0.018772887997329235,0.01889420102816075,0.019015514058992267,0.019136827089823782,0.019258140120655298,0.019379453151486814,0.01950076618231833,0.019622079213149846,0.01974339224398136,0.019864705274812877,0.019986018305644393,0.02010733133647591,0.020228644367307425,0.02034995739813894,0.020471270428970456,0.020592583459801972,0.020713896490633488,0.020835209521465003,0.02095652255229652,0.021077835583128035,0.02119914861395955,0.021320461644791067,0.021441774675622582,0.021563087706454098,0.021684400737285614]}"
"781","{""values"":[44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017953643575310707,0.01807539549190551,0.018197147408500314,0.018318899325095117,0.01844065124168992,0.018562403158284724,0.018684155074879527,0.01880590699147433,0.018927658908069134,0.019049410824663937,0.01917116274125874,0.019292914657853544,0.019414666574448347,0.01953641849104315,0.019658170407637954,0.019779922324232757,0.01990167424082756,0.020023426157422364,0.020145178074017167,0.02026692999061197,0.020388681907206774,0.020510433823801577,0.02063218574039638,0.020753937656991184,0.020875689573585987,0.02099744149018079,0.021119193406775594,0.021240945323370397,0.0213626972399652,0.021484449156560004,0.021606201073154807,0.02172795298974961,0.021849704906344414]}"
"815","{""bins"":[0.017909465357661247,0.017995113506913185,0.018080761656165123,0.01816640980541706,0.018252057954669,0.018337706103920937,0.018423354253172874,0.018509002402424812,0.01859465055167675,0.018680298700928688,0.018765946850180626,0.018851594999432564,0.0189372431486845,0.01902289129793644,0.019108539447188377,0.019194187596440315,0.019279833883047104,0.019365482032299042,0.01945113018155098,0.019536778330802917,0.019622426480054855,0.019708074629306793,0.01979372277855873,0.01987937092781067,0.019965019077062607,0.020050667226314545,0.020136315375566483,0.02022196352481842,0.02030761167407036,0.020393259823322296,0.020478907972574234,0.020564556121826172,0.02065020427107811],""values"":[42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12],""_type"":""histogram""}"
"849","{""values"":[37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017606349661946297,0.01772779639577493,0.017849243129603565,0.0179706898634322,0.018092136597260833,0.018213583331089467,0.0183350300649181,0.018456476798746735,0.01857792353257537,0.018699370266404003,0.018820817000232637,0.01894226373406127,0.019063710467889905,0.01918515720171854,0.019306603935547173,0.019428050669375807,0.01954949740320444,0.019670944137033075,0.01979239087086171,0.019913837604690343,0.020035284338518977,0.02015673107234761,0.020278177806176245,0.02039962454000488,0.020521071273833513,0.020642518007662147,0.02076396474149078,0.020885411475319415,0.02100685820914805,0.021128304942976683,0.021249751676805317,0.02137119841063395,0.021492645144462585]}"
